昵称,地区,日期,评论
山山里农场,湖北,2024-12-05 16:09:58,[赞][赞]
小涛吖,四川,2024-12-05 12:12:24,[赞][赞]
雄鹰,四川,2024-12-05 07:43:12,[赞][赞]
用户1703399333111,河北,2024-12-04 23:09:22,没听懂啥意思[捂脸][捂脸][捂脸]
所以，,江苏,2024-12-04 23:09:06,我第一，我要求官方给我点赞[思考][思考][思考]
五月的婵,重庆,2024-12-04 23:09:05,庆祝[加鸡腿][加鸡腿][加鸡腿]
甜磕九度甜,湖南,2024-12-04 23:08:58,[打call][打call][打call][打call]
宁爱,辽宁,2024-12-04 23:08:42,祝贺[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
开心兜兜,河南,2024-12-04 23:08:35,首评[玫瑰][玫瑰][玫瑰][赞][赞][赞]
此z生不换,河南,2024-12-04 23:08:33,[送心][送心][送心]开心！
一个旋呐,新疆,2024-12-04 23:08:05,[大笑][大笑][大笑]太棒啦
跟你最最好,湖北,2024-12-04 23:08:05,[打call][打call][打call][打call][打call]
阳光飞行员,江西,2024-12-04 23:07:37,恭喜[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
元宝好,安徽,2024-12-04 23:07:37,气氛都到这了，那就提前祝大家新年快乐。[白眼][白眼][白眼]
银子,浙江,2024-12-04 23:07:31,第一[泣不成声][泣不成声][泣不成声]
52Hetrz,山东,2024-12-04 23:07:28,山东人民发来贺电[玫瑰][玫瑰][玫瑰]
隘子小镇小美,广东,2024-12-04 23:07:20,[大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑]哇
来咯我,甘肃,2024-12-04 23:07:08,我是第一[捂脸][捂脸][捂脸]
顺其自然,山东,2024-12-04 23:05:28,热烈祝贺！[呲牙][呲牙][呲牙]
就最后再吃一口啦,重庆,2024-12-04 23:06:39,[抱抱你][抱抱你][抱抱你]
郑三岁啦,浙江,2024-12-04 23:06:10,恭喜恭喜[鼓掌][鼓掌][鼓掌]
雪伟,广东,2024-12-04 23:05:48,棒棒哒[鼓掌][鼓掌][鼓掌]
别回头等我,河北,2024-12-04 23:05:20,恭喜恭喜恭喜[赞][赞][赞][玫瑰][玫瑰][玫瑰]
千浔,福建,2024-12-04 23:06:29,祝贺！！！！[鼓掌][鼓掌][鼓掌][玫瑰][玫瑰][玫瑰]
狸秋雨,广东,2024-12-04 23:07:56,中华文化博大精深！源远流长！[赞][赞][赞]
凭栏望江雪,河南,2024-12-04 23:07:17,我爱我的祖国，我爱我们的国旗
星州,江西,2024-12-04 23:06:42,第一[色]
后街老超,河北,2024-12-04 23:07:23,[赞][赞][赞]
雨天撑伞人,山东,2024-12-04 23:05:53,第一[比心][比心][比心]
往事随风6688,浙江,2024-12-04 23:09:22,[赞][赞][赞]
祢豆子,上海,2024-12-04 23:08:32,han。。。国人。。。偷不掉了，哈哈
小莲,重庆,2024-12-07 14:22:26,哎很开心！但是疫苗打的让我内心很悲观[流泪]
ddmdgzymlxrb,河南,2024-12-04 23:08:29,要不是防韩还不会申请
卡布丁,浙江,2024-12-05 07:22:39,春节 最早是起源于我们韩国的传统节日[微笑]
儿童故事大全,辽宁,2024-12-05 00:45:03,韩国棒子要哭了[捂脸][捂脸][捂脸][捂脸][捂脸]
猪儿李,四川,2024-12-04 23:08:17,鞭炮都不准放，还申遗
锅里有^O^周,湖南,2024-12-04 23:07:20,不知道审下来有什么意义
梦想输入中,北京,2024-12-04 23:06:12,这下棒子抢不走了吧
瑾年,云南,2024-12-04 23:06:17,不让放烟花，一点年味都没有。
黑白之间,上海,2024-12-04 23:06:54,[玫瑰][玫瑰][玫瑰]春节万家灯火齐闪亮，阖家幸福安康庆团圆[玫瑰][玫瑰][玫瑰]
彼一时,山东,2024-12-04 23:07:34,再不申请怕又被韩国抢了[捂脸][捂脸][捂脸]
一者,浙江,2024-12-04 23:08:36,春节没给南韩 我就放心了[呲牙][呲牙][呲牙]
少君啊,广东,2024-12-04 23:05:08,第一[玫瑰][玫瑰][玫瑰]
壹米滴答胜芳八达博览城全责004838,河北,2024-12-04 23:05:06,[宕机][宕机][宕机]
Hehehe,江苏,2024-12-04 23:05:02,[玫瑰][玫瑰][玫瑰]
猴子大王0108,浙江,2024-12-04 23:04:56,[赞][赞][赞]
明月天涯.,辽宁,2024-12-04 23:04:46,第一
whz,陕西,2024-12-04 23:04:24,[撒花][撒花][撒花]
